epidemiological_week,date,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population_2019,is_last,is_repeated
26,2020-06-26,73,SP,Mogi Mirim,3530805,city,191,204.95981,26,7,0,0.0366,93189,True,False
26,2020-06-26,8,SP,Mombuca,3530904,city,3,85.88606,0,0,0,0.0,3493,True,False
26,2020-06-26,41,SP,Monções,3531001,city,7,309.87162,0,1,0,0.1429,2259,True,False
26,2020-06-26,74,SP,Mongaguá,3531100,city,137,241.61405,23,4,0,0.0292,56702,True,False
26,2020-06-26,22,SP,Monte Alegre do Sul,3531209,city,8,99.52725,0,0,0,0.0,8038,True,False
26,2020-06-26,81,SP,Monte Alto,3531308,city,64,126.73769,5,1,0,0.0156,50498,True,False
26,2020-06-26,51,SP,Monte Aprazível,3531407,city,41,163.43126,2,1,0,0.0244,25087,True,False
26,2020-06-26,63,SP,Monte Azul Paulista,3531506,city,30,157.82828,3,0,0,0.0,19008,True,False
26,2020-06-26,8,SP,Monte Castelo,3531605,city,0,,0,0,0,0.0,4166,True,False
26,2020-06-26,42,SP,Monteiro Lobato,3531704,city,4,85.96604,0,0,0,0.0,4653,True,False
26,2020-06-26,73,SP,Monte Mor,3531803,city,232,388.1416,10,5,0,0.0216,59772,True,False
26,2020-06-26,73,SP,Morro Agudo,3531902,city,170,515.65154,11,4,1,0.0235,32968,True,False
26,2020-06-26,73,SP,Morungaba,3532009,city,33,242.25518,0,1,0,0.0303,13622,True,False
26,2020-06-26,33,SP,Motuca,3532058,city,13,273.22404,5,0,0,0.0,4758,True,False
26,2020-06-26,43,SP,Murutinga do Sul,3532108,city,4,89.1663,0,0,0,0.0,4486,True,False
26,2020-06-26,3,SP,Narandiba,3532207,city,0,,0,0,0,0.0,4857,True,False
26,2020-06-26,23,SP,Natividade da Serra,3532306,city,2,30.02552,0,1,0,0.5,6661,True,False
26,2020-06-26,67,SP,Nazaré Paulista,3532405,city,46,248.3265,8,2,0,0.0435,18524,True,False
26,2020-06-26,52,SP,Neves Paulista,3532504,city,16,179.17133,0,0,0,0.0,8930,True,False
26,2020-06-26,74,SP,Nhandeara,3532603,city,11,95.83551,0,0,0,0.0,11478,True,False
26,2020-06-26,53,SP,Nipoã,3532702,city,17,326.10781,3,0,0,0.0,5213,True,False
26,2020-06-26,49,SP,Nova Aliança,3532801,city,25,358.52574,2,1,1,0.04,6973,True,False
26,2020-06-26,49,SP,Nova Campina,3532827,city,1,10.25115,0,0,0,0.0,9755,True,False
26,2020-06-26,21,SP,Nova Castilho,3532868,city,5,394.63299,0,1,0,0.2,1267,True,False
26,2020-06-26,49,SP,Nova Europa,3532900,city,67,598.96299,0,0,0,0.0,11186,True,False
26,2020-06-26,54,SP,Nova Granada,3533007,city,19,88.37209,1,1,0,0.0526,21500,True,False
26,2020-06-26,58,SP,Nova Guataporanga,3533106,city,6,259.06736,0,0,0,0.0,2316,True,False
26,2020-06-26,31,SP,Novais,3533254,city,5,85.76329,0,0,0,0.0,5830,True,False
26,2020-06-26,25,SP,Nova Luzitânia,3533304,city,2,48.76859,0,0,0,0.0,4101,True,False
26,2020-06-26,88,SP,Nova Odessa,3533403,city,112,186.1269,3,9,0,0.0804,60174,True,False
